friendly_name,original_field_name,page,field_type,caption,state_options,max_length,access
p1_name_s_shown_on_form_1040_1040_sr_or_1040_nr,topmostSubform[0].Page1[0].f1_1[0],1,Text,"Name(s) shown on Form 1040, 1040-SR, or 1040-NR",,,
p1_social_security_number_of_hsa_beneficiary_if_both_spouses_have_hsas,topmostSubform[0].Page1[0].f1_2[0],1,Text,"Social security number of HSA beneficiary. If both spouses have HSAs, see instructions.",,11,
self_only,topmostSubform[0].Page1[0].c1_1[0],1,Button,Self-only,1,,
family,topmostSubform[0].Page1[0].c1_1[1],1,Button,Family,2,,
p1_topmostsubform_0_page1_0_f1_3_0,topmostSubform[0].Page1[0].f1_3[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_4_0,topmostSubform[0].Page1[0].f1_4[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_5_0,topmostSubform[0].Page1[0].f1_5[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_6_0,topmostSubform[0].Page1[0].f1_6[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_7_0,topmostSubform[0].Page1[0].f1_7[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_8_0,topmostSubform[0].Page1[0].f1_8[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_9_0,topmostSubform[0].Page1[0].f1_9[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_10_0,topmostSubform[0].Page1[0].f1_10[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_11_0,topmostSubform[0].Page1[0].f1_11[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_12_0,topmostSubform[0].Page1[0].f1_12[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_13_0,topmostSubform[0].Page1[0].f1_13[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_14_0,topmostSubform[0].Page1[0].f1_14[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_15_0,topmostSubform[0].Page1[0].f1_15[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_16_0,topmostSubform[0].Page1[0].f1_16[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_17_0,topmostSubform[0].Page1[0].f1_17[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_18_0,topmostSubform[0].Page1[0].f1_18[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_19_0,topmostSubform[0].Page1[0].f1_19[0],1,Text,,,,
p1_topmostsubform_0_page1_0_c1_2_0,topmostSubform[0].Page1[0].c1_2[0],1,Button,,1,,
p1_topmostsubform_0_page1_0_f1_20_0,topmostSubform[0].Page1[0].f1_20[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_21_0,topmostSubform[0].Page1[0].f1_21[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_22_0,topmostSubform[0].Page1[0].f1_22[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_23_0,topmostSubform[0].Page1[0].f1_23[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_24_0,topmostSubform[0].Page1[0].f1_24[0],1,Text,,,,
